f,m,n,declension
Chimaeriferaa,Chimaerifera,Chimaeriferaum,I_II
Chīa,Chīus,Chīum,I_II
chlamydāta,chlamydātus,chlamydātum,I_II
cibāria,cibārius,cibārium,I_II
cicur,cicur,cicur,III
Cilissaa,Cilissa,Cilissaum,I_II
Cilix,Cilix,Cilix,III
cincinnāta,cincinnātus,cincinnātum,I_II
cīnctūta,cīnctūtus,cīnctūtum,I_II
Circēnsis,Circēnsis,Circēnse,III
circumcīsa,circumcīsus,circumcīsum,I_II
circumflua,circumfluus,circumfluum,I_II
circumforānea,circumforāneus,circumforāneum,I_II
circumiecta,circumiectus,circumiectum,I_II
circumpadāna,circumpadānus,circumpadānum,I_II
circumscrīpta,circumscrīptus,circumscrīptum,I_II
circumsona,circumsonus,circumsonum,I_II
circumspecta,circumspectus,circumspectum,I_II
circumtexta,circumtextus,circumtextum,I_II
circumvaga,circumvagus,circumvagum,I_II
Cisalpīna,Cisalpīnus,Cisalpīnum,I_II
Cisrhēnāna,Cisrhēnānus,Cisrhēnānum,I_II
citāta,citātus,citātum,I_II
citerior,citerior,citerior,III
citrea,citreus,citreum,I_II
cita,citus,citum,I_II
cīvica,cīvicus,cīvicum,I_II
cīvīlis,cīvīlis,cīvīle,III
clāmōsa,clāmōsus,clāmōsum,I_II
clandestīna,clandestīnus,clandestīnum,I_II
clārisona,clārisonus,clārisonum,I_II
clāra,clārus,clārum,I_II
classiāria,classiārius,classiārium,I_II
classica,classicus,classicum,I_II
clauda,claudus,claudum,I_II
claa,clausus,claum,I_II
clāvigera,clāviger,clāvigerum,I_II
clēmēns,clēmēns,clēmēns,III
clīnāta,clīnātus,clīnātum,I_II
clipeāta,clipeātus,clipeātum,I_II
clītellāria,clītellārius,clītellārium,I_II
clīvōsa,clīvōsus,clīvōsum,I_II
Cnōsia,Cnōsius,Cnōsium,I_II
coccina,coccinus,coccinum,I_II
coctilis,coctilis,coctile,III
cōgitāta,cōgitātus,cōgitātum,I_II
cōgnāta,cōgnātus,cōgnātum,I_II
cōgnita,cōgnitus,cōgnitum,I_II
cōgnōmināta,cōgnōminātus,cōgnōminātum,I_II
cohaerēns,cohaerēns,cohaerēns,III
colōnica,colōnicus,colōnicum,I_II
colōrāta,colōrātus,colōrātum,I_II
colubrifera,colubrifer,colubriferum,I_II
colurna,colurnus,colurnum,I_II
comāns,comāns,comāns,III
comātaa,comāta,comātaum,I_II
cōmica,cōmicus,cōmicum,I_II
cōmis,cōmis,cōme,III
comissabunda,comissabundus,comissabundum,I_II
comitāta,comitātus,comitātum,I_II
comitiālis,comitiālis,comitiāle,III
commemorābilis,commemorābilis,commemorābile,III
commemoranda,commemorandus,commemorandum,I_II
commendābilis,commendābilis,commendābile,III
commendātīcia,commendātīcius,commendātīcium,I_II
commendāta,commendātus,commendātum,I_II
commentāta,commentātus,commentātum,I_II
commentīcia,commentīcius,commentīcium,I_II
commenta,commentus,commentum,I_II
commoda,commodus,commodum,I_II
commōta,commōtus,commōtum,I_II
commūnis,commūnis,commūne,III
commūtābilis,commūtābilis,commūtābile,III
cōmoeda,cōmoedus,cōmoedum,I_II
comōsa,comōsus,comōsum,I_II
compār,compār,compār,III
comparābilis,comparābilis,comparābile,III
comparātīva,comparātīvus,comparātīvum,I_II
compāscua,compāscuus,compāscuum,I_II
compendiāria,compendiārius,compendiārium,I_II
comperta,compertus,compertum,I_II
compitālicia,compitālicius,compitālicium,I_II
complēta,complētus,complētum,I_II
complūrēs,complūrēs,complūrēs,III
complūsculīa,complūsculī,complūsculīum,I_II
compos,compos,compos,III
composita,compositus,compositum,I_II
comprehēnsibilis,comprehēnsibilis,comprehēnsibile,III
cōmpta,cōmptus,cōmptum,I_II
concava,concavus,concavum,I_II
concertātōria,concertātōrius,concertātōrium,I_II
concessa,concessus,concessum,I_II
conchȳliāta,conchȳliātus,conchȳliātum,I_II
conciliāta,conciliātus,conciliātum,I_II
concinna,concinnus,concinnum,I_II
concīsa,concīsus,concīsum,I_II
concitāta,concitātus,concitātum,I_II
concolor,concolor,concolor,III
concors,concors,concors,III
concrēta,concrētus,concrētum,I_II
concubia,concubius,concubium,I_II
concupiēns,concupiēns,concupiēns,III
condēnsa,condēnsus,condēnsum,I_II
condita,conditus,conditum,I_II
condīta,condītus,condītum,I_II
conductīcia,conductīcius,conductīcium,I_II
cōnexa,cōnexus,cōnexum,I_II
cōnfātālis,cōnfātālis,cōnfātāle,III
cōnferta,cōnfertus,cōnfertum,I_II
cōnfessa,cōnfessus,cōnfessum,I_II
cōnficiēns,cōnficiēns,cōnficiēns,III
cōnfīdēns,cōnfīdēns,cōnfīdēns,III
cōnfīnis,cōnfīnis,cōnfīne,III
cōnfīrmāta,cōnfīrmātus,cōnfīrmātum,I_II
cōnfragōsa,cōnfragōsus,cōnfragōsum,I_II
cōnfūsa,cōnfūsus,cōnfūsum,I_II
congestīcia,congestīcius,congestīcium,I_II
congregābilis,congregābilis,congregābile,III
congruēns,congruēns,congruēns,III
coniectūrālis,coniectūrālis,coniectūrāle,III
cōnifera,cōnifer,cōniferum,I_II
cōnigera,cōniger,cōnigerum,I_II
coniugālis,coniugālis,coniugāle,III
coniugiālis,coniugiālis,coniugiāle,III
coniūncta,coniūnctus,coniūnctum,I_II
coniūrāta,coniūrātus,coniūrātum,I_II
conlacerata,conlaceratus,conlaceratum,I_II
conlēctīcia,conlēctīcius,conlēctīcium,I_II
conquīsīta,conquīsītus,conquīsītum,I_II
cōnsanguinea,cōnsanguineus,cōnsanguineum,I_II
cōnscelerāta,cōnscelerātus,cōnscelerātum,I_II
cōnscia,cōnscius,cōnscium,I_II
cōnsecrāta,cōnsecrātus,cōnsecrātum,I_II
cōnsectāria,cōnsectārius,cōnsectārium,I_II
cōnsentānea,cōnsentāneus,cōnsentāneum,I_II
cōnsentiēns,cōnsentiēns,cōnsentiēns,III
cōnsequēns,cōnsequēns,cōnsequēns,III
cōnservāns,cōnservāns,cōnservāns,III
cōnsīderāta,cōnsīderātus,cōnsīderātum,I_II
cōnsimilis,cōnsimilis,cōnsimile,III
cōnsociāta,cōnsociātus,cōnsociātum,I_II
cōnsōlābilis,cōnsōlābilis,cōnsōlābile,III
cōnsōlātōria,cōnsōlātōrius,cōnsōlātōrium,I_II
cōnsona,cōnsonus,cōnsonum,I_II
cōnspecta,cōnspectus,cōnspectum,I_II
cōnspicienda,cōnspiciendus,cōnspiciendum,I_II
cōnspicua,cōnspicuus,cōnspicuum,I_II
cōnspīrāns,cōnspīrāns,cōnspīrāns,III
cōnspīrāta,cōnspīrātus,cōnspīrātum,I_II
cōnstāns,cōnstāns,cōnstāns,III
cōnstitūta,cōnstitūtus,cōnstitūtum,I_II
cōnsuēta,cōnsuētus,cōnsuētum,I_II
cōnsulāris,cōnsulāris,cōnsulāre,III
cōnsulta,cōnsultus,cōnsultum,I_II
contāmināta,contāminātus,contāminātum,I_II
contemnenda,contemnendus,contemnendum,I_II
contempta,contemptus,contemptum,I_II
contenta,contentus,contentum,I_II
contenta,contentus,contentum,I_II
contermina,conterminus,conterminum,I_II
contexta,contextus,contextum,I_II
contigua,contiguus,contiguum,I_II
continēns,continēns,continēns,III
continua,continuus,continuum,I_II
cōntiōnābunda,cōntiōnābundus,cōntiōnābundum,I_II
cōntiōnālis,cōntiōnālis,cōntiōnāle,III
cōntiōnāria,cōntiōnārius,cōntiōnārium,I_II
contortula,contortulus,contortulum,I_II
contorta,contortus,contortum,I_II
contrācta,contrāctus,contrāctum,I_II
contrāria,contrārius,contrārium,I_II
contrīta,contrītus,contrītum,I_II
contrōversiōsa,contrōversiōsus,contrōversiōsum,I_II
contrōversa,contrōversus,contrōversum,I_II
contumāx,contumāx,contumāx,III
contumēlīōsa,contumēlīōsus,contumēlīōsum,I_II
conturbāta,conturbātus,conturbātum,I_II
cōnūbiālis,cōnūbiālis,cōnūbiāle,III
conveniēns,conveniēns,conveniēns,III
conventīcia,conventīcius,conventīcium,I_II
convexa,convexus,convexum,I_II
convīvālis,convīvālis,convīvāle,III
cōpiōsa,cōpiōsus,cōpiōsum,I_II
cōpulāta,cōpulātus,cōpulātum,I_II
cordāta,cordātus,cordātum,I_II
Corinthia,Corinthius,Corinthium,I_II
corneola,corneolus,corneolum,I_II
cornea,corneus,corneum,I_II
cornea,corneus,corneum,I_II
cornigera,corniger,cornigerum,I_II
cornipēs,cornipēs,cornipēs,III
corōnāria,corōnārius,corōnārium,I_II
corporāta,corporātus,corporātum,I_II
