f,m,n,declension
lītigiōsa,lītigiōsus,lītigiōsum,I_II
lītorālis,lītorālis,lītorāle,III
lītorea,lītoreus,lītoreum,I_II
litterāria,litterārius,litterārium,I_II
litterāta,litterātus,litterātum,I_II
līvēns,līvēns,līvēns,III
līvidula,līvidulus,līvidulum,I_II
līvida,līvidus,līvidum,I_II
locuplēs,locuplēs,locuplēs,III
longaeva,longaevus,longaevum,I_II
longinqua,longinquus,longinquum,I_II
longiuscula,longiusculus,longiusculum,I_II
longula,longulus,longulum,I_II
longa,longus,longum,I_II
loquāx,loquāx,loquāx,III
lōrīcāta,lōrīcātus,lōrīcātum,I_II
lōripēs,lōripēs,lōripēs,III
lūbrica,lūbricus,lūbricum,I_II
Lūcāna,Lūcānus,Lūcānum,I_II
lūcida,lūcidus,lūcidum,I_II
lūcifera,lūcifer,lūciferum,I_II
lūcifuga,lūcifugus,lūcifugum,I_II
lucrātīva,lucrātīvus,lucrātīvum,I_II
Lucrinēnsis,Lucrinēnsis,Lucrinēnse,III
lucrōsa,lucrōsus,lucrōsum,I_II
luctāns,luctāns,luctāns,III
lūctifica,lūctificus,lūctificum,I_II
lūctisona,lūctisonus,lūctisonum,I_II
lūctuōsa,lūctuōsus,lūctuōsum,I_II
lūculenta,lūculentus,lūculentum,I_II
lūdibunda,lūdibundus,lūdibundum,I_II
lūgubris,lūgubris,lūgubre,III
lūminōsa,lūminōsus,lūminōsum,I_II
lūnāris,lūnāris,lūnāre,III
lūnāta,lūnātus,lūnātum,I_II
Lūnēnsis,Lūnēnsis,Lūnēnse,III
lupāta,lupātus,lupātum,I_II
lupīna,lupīnus,lupīnum,I_II
lūrida,lūridus,lūridum,I_II
lusca,luscus,luscum,I_II
lūstrālis,lūstrālis,lūstrāle,III
lūteola,lūteolus,lūteolum,I_II
lūtea,lūteus,lūteum,I_II
lutea,luteus,luteum,I_II
lutulenta,lutulentus,lutulentum,I_II
lūxuriōsa,lūxuriōsus,lūxuriōsum,I_II
Lycia,Lycius,Lycium,I_II
lymphātica,lymphāticus,lymphāticum,I_II
Lyncēa,Lyncēus,Lyncēum,I_II
lyrica,lyricus,lyricum,I_II
macera,macer,macerum,I_II
macta,mactus,mactum,I_II
maculōsa,maculōsus,maculōsum,I_II
madēns,madēns,madēns,III
madida,madidus,madidum,I_II
Maenalia,Maenalius,Maenalium,I_II
Maeonia,Maeonius,Maeonium,I_II
maerēns,maerēns,maerēns,III
maesta,maestus,maestum,I_II
magica,magicus,magicum,I_II
māgmentāria,māgmentārius,māgmentārium,I_II
magnanima,magnanimus,magnanimum,I_II
māgnēs,māgnēs,māgnēs,III
māgnifica,māgnificus,māgnificum,I_II
māgniloqua,māgniloquus,māgniloquum,I_II
māgna,māgnus,māgnum,I_II
maga,magus,magum,I_II
Māia,Māius,Māium,I_II
māiuscula,māiusculus,māiusculum,I_II
maledica,maledicus,maledicum,I_II
malefica,maleficus,maleficum,I_II
malesuāda,malesuādus,malesuādum,I_II
malevola,malevolus,malevolum,I_II
mālifera,mālifer,māliferum,I_II
malīgna,malīgnus,malīgnum,I_II
malitiōsa,malitiōsus,malitiōsum,I_II
mala,malus,malum,I_II
Māmertīna,Māmertīnus,Māmertīnum,I_II
manca,mancus,mancum,I_II
manicāta,manicātus,manicātum,I_II
manifēsta,manifēstus,manifēstum,I_II
manipulāris,manipulāris,manipulāre,III
Mānliāna,Mānliānus,Mānliānum,I_II
mānsuēta,mānsuētus,mānsuētum,I_II
manuālis,manuālis,manuāle,III
Mārciāna,Mārciānus,Mārciānum,I_II
marcida,marcidus,marcidum,I_II
Mareōtica,Mareōticus,Mareōticum,I_II
marīna,marīnus,marīnum,I_II
marītālis,marītālis,marītāle,III
maritima,maritimus,maritimum,I_II
marīta,marītus,marītum,I_II
marmorea,marmoreus,marmoreum,I_II
Mārtia,Mārtius,Mārtium,I_II
mās,mās,mās,III
masculīna,masculīnus,masculīnum,I_II
mascula,masculus,masculum,I_II
Massica,Massicus,Massicum,I_II
mastrūcāta,mastrūcātus,mastrūcātum,I_II
māteriāta,māteriātus,māteriātum,I_II
māterna,māternus,māternum,I_II
mātrīma,mātrīmus,mātrīmum,I_II
mātrōnālis,mātrōnālis,mātrōnāle,III
mātūra,mātūrus,mātūrum,I_II
mātūtīna,mātūtīnus,mātūtīnum,I_II
Māvortia,Māvortius,Māvortium,I_II
medicābilis,medicābilis,medicābile,III
medicanda,medicandus,medicandum,I_II
medicāta,medicātus,medicātum,I_II
medica,medicus,medicum,I_II
mediocris,mediocris,mediocre,III
mediterrānea,mediterrāneus,mediterrāneum,I_II
media,medius,medium,I_II
Medūsaea,Medūsaeus,Medūsaeum,I_II
Megalēsiaca,Megalēsiacus,Megalēsiacum,I_II
melancholica,melancholicus,melancholicum,I_II
melica,melicus,melicum,I_II
meliora,melior,meliorum,I_II
Melitēnsis,Melitēnsis,Melitēnse,III
melia,melius,melium,I_II
meliuscula,meliusculus,meliusculum,I_II
mellifera,mellifer,melliferum,I_II
mellīta,mellītus,mellītum,I_II
memor,memor,memor,III
memorābilis,memorābilis,memorābile,III
memoranda,memorandus,memorandum,I_II
memorāta,memorātus,memorātum,I_II
mendāx,mendāx,mendāx,III
mendīca,mendīcus,mendīcum,I_II
mēnstrua,mēnstruus,mēnstruum,I_II
mentīta,mentītus,mentītum,I_II
merāca,merācus,merācum,I_II
mercābilis,mercābilis,mercābile,III
mercennāria,mercennārius,mercennārium,I_II
Mercuriālis,Mercuriālis,Mercuriāle,III
merēns,merēns,merēns,III
meretrīcia,meretrīcius,meretrīcium,I_II
merīdiāna,merīdiānus,merīdiānum,I_II
meritōria,meritōrius,meritōrium,I_II
merita,meritus,meritum,I_II
mera,merus,merum,I_II
messōria,messōrius,messōrium,I_II
metuenda,metuendus,metuendum,I_II
metuēns,metuēns,metuēns,III
micāns,micāns,micāns,III
mīlitāris,mīlitāris,mīlitāre,III
mīllēsima,mīllēsimus,mīllēsimum,I_II
mīluīna,mīluīnus,mīluīnum,I_II
mīmicēa,mīmicē,mīmicēum,I_II
mīmica,mīmicus,mīmicum,I_II
mināx,mināx,mināx,III
miniātula,miniātulus,miniātulum,I_II
miniāta,miniātus,miniātum,I_II
minima,minimus,minimum,I_II
ministera,minister,ministerum,I_II
minitābunda,minitābundus,minitābundum,I_II
minor,minor,minor,III
mina,minus,minum,I_II
minuscula,minusculus,minusculum,I_II
minūta,minūtus,minūtum,I_II
mīrābilis,mīrābilis,mīrābile,III
mīrābunda,mīrābundus,mīrābundum,I_II
mīranda,mīrandus,mīrandum,I_II
mīrifica,mīrificus,mīrificum,I_II
mīra,mīrus,mīrum,I_II
misella,misellus,misellum,I_II
misera,miser,miserum,I_II
miserābilis,miserābilis,miserābile,III
miseranda,miserandus,miserandum,I_II
misericors,misericors,misericors,III
missilis,missilis,missile,III
mītis,mītis,mīte,III
mitrāta,mitrātus,mitrātum,I_II
mīxta,mīxtus,mīxtum,I_II
mōbilis,mōbilis,mōbile,III
moderābilis,moderābilis,moderābile,III
moderāta,moderātus,moderātum,I_II
modesta,modestus,modestum,I_II
modica,modicus,modicum,I_II
molesta,molestus,molestum,I_II
mollicella,mollicellus,mollicellum,I_II
mollicula,molliculus,molliculum,I_II
mollipēs,mollipēs,mollipēs,III
mollis,mollis,molle,III
monētālis,monētālis,monētāle,III
monogrammosa,monogrammos,monogrammosum,I_II
mōnstrāta,mōnstrātus,mōnstrātum,I_II
montāna,montānus,montānum,I_II
montivaga,montivagus,montivagum,I_II
montōsa,montōsus,montōsum,I_II
montuōsa,montuōsus,montuōsum,I_II
mopsopia,mopsopius,mopsopium,I_II
mōrālis,mōrālis,mōrāle,III
morāns,morāns,morāns,III
morāta,morātus,morātum,I_II
mōrāta,mōrātus,mōrātum,I_II
morbōsa,morbōsus,morbōsum,I_II
mordāx,mordāx,mordāx,III
moribunda,moribundus,moribundum,I_II
moriēns,moriēns,moriēns,III
mōrigera,mōrigerus,mōrigerum,I_II
mōrōsa,mōrōsus,mōrōsum,I_II
mortālis,mortālis,mortāle,III
mortifera,mortifer,mortiferum,I_II
mortua,mortuus,mortuum,I_II
mōta,mōtus,mōtum,I_II
movēns,movēns,movēns,III
mūcida,mūcidus,mūcidum,I_II
muliebris,muliebris,muliebre,III
mulierāria,mulierārius,mulierārium,I_II
mulierōsa,mulierōsus,mulierōsum,I_II
mūlīna,mūlīnus,mūlīnum,I_II
mūliōnia,mūliōnius,mūliōnium,I_II
multātīcia,multātīcius,multātīcium,I_II
multicava,multicavus,multicavum,I_II
multifida,multifidus,multifidum,I_II
multifōrmis,multifōrmis,multifōrme,III
multifora,multiforus,multiforum,I_II
multiiuga,multiiugus,multiiugum,I_II
multiplex,multiplex,multiplex,III
multiplicābilis,multiplicābilis,multiplicābile,III
multivola,multivolus,multivolum,I_II
multa,multus,multum,I_II
munda,mundus,mundum,I_II
mūnicipālis,mūnicipālis,mūnicipāle,III
mūnifica,mūnificus,mūnificum,I_II
mūnīta,mūnītus,mūnītum,I_II
mūrālis,mūrālis,mūrāle,III
murrea,murreus,murreum,I_II
murrea,murreus,murreum,I_II
mūscōsa,mūscōsus,mūscōsum,I_II
mūsica,mūsicus,mūsicum,I_II
mustēlīna,mustēlīnus,mustēlīnum,I_II
mūtābilis,mūtābilis,mūtābile,III
mūtāta,mūtātus,mūtātum,I_II
mutila,mutilus,mutilum,I_II
mūta,mūtus,mūtum,I_II
mūtua,mūtuus,mūtuum,I_II
myrtea,myrteus,myrteum,I_II
mystica,mysticus,mysticum,I_II
nārrābilis,nārrābilis,nārrābile,III
nāscēns,nāscēns,nāscēns,III
nāsūta,nāsūtus,nāsūtum,I_II
nātālīcia,nātālīcius,nātālīcium,I_II
nātālis,nātālis,nātāle,III
nātīva,nātīvus,nātīvum,I_II
nātūrālis,nātūrālis,nātūrāle,III
nāta,nātus,nātum,I_II
naufraga,naufragus,naufragum,I_II
nautica,nauticus,nauticum,I_II
nāvālis,nāvālis,nāvāle,III
nāviculāria,nāviculārius,nāviculārium,I_II
nāvifraga,nāvifragus,nāvifragum,I_II
nāvigābilis,nāvigābilis,nāvigābile,III
nāva,nāvus,nāvum,I_II
nebulōsa,nebulōsus,nebulōsum,I_II
necessāria,necessārius,necessārium,I_II
necessea,necesse,necesseum,I_II
necopīnāns,necopīnāns,necopīnāns,III
necopīnāta,necopīnātus,necopīnātum,I_II
necopīna,necopīnus,necopīnum,I_II
nectarea,nectareus,nectareum,I_II
nefanda,nefandus,nefandum,I_II
nefāria,nefārius,nefārium,I_II
nefāsta,nefāstus,nefāstum,I_II
neglēcta,neglēctus,neglēctum,I_II
neglegēns,neglegēns,neglegēns,III
negōtiālis,negōtiālis,negōtiāle,III
negōtiōsa,negōtiōsus,negōtiōsum,I_II
nemorālis,nemorālis,nemorāle,III
nemorēnsis,nemorēnsis,nemorēnse,III
nemorivaga,nemorivagus,nemorivagum,I_II
nemorōsa,nemorōsus,nemorōsum,I_II
Neptūnia,Neptūnius,Neptūnium,I_II
nēquama,nēquam,nēquamum,I_II
nervōsa,nervōsus,nervōsum,I_II
nēsciēns,nēsciēns,nēsciēns,III
nēscia,nēscius,nēscium,I_II
neutera,neuter,neuterum,I_II
nexilis,nexilis,nexile,III
nexa,nexus,nexum,I_II
nigera,niger,nigerum,I_II
nigrāns,nigrāns,nigrāns,III
Nīliaca,Nīliacus,Nīliacum,I_II
nimbifera,nimbifer,nimbiferum,I_II
nimbōsa,nimbōsus,nimbōsum,I_II
nimia,nimius,nimium,I_II
nitēns,nitēns,nitēns,III
nitida,nitidus,nitidum,I_II
nivālis,nivālis,nivāle,III
nivea,niveus,niveum,I_II
nivōsa,nivōsus,nivōsum,I_II
nōbilis,nōbilis,nōbile,III
nocēns,nocēns,nocēns,III
nocīva,nocīvus,nocīvum,I_II
noctivaga,noctivagus,noctivagum,I_II
noctuābunda,noctuābundus,noctuābundum,I_II
nocturna,nocturnus,nocturnum,I_II
nocua,nocuus,nocuum,I_II
nōdōsa,nōdōsus,nōdōsum,I_II
nōmināta,nōminātus,nōminātum,I_II
Nōnacrīna,Nōnacrīnus,Nōnacrīnum,I_II
nōnāna,nōnānus,nōnānum,I_II
nōnnūlla,nōnnūllus,nōnnūllum,I_II
nostrās,nostrās,nostrās,III
notābilis,notābilis,notābile,III
notāta,notātus,notātum,I_II
notha,nothus,nothum,I_II
nōta,nōtus,nōtum,I_II
novālis,novālis,novāle,III
novella,novellus,novellum,I_II
November,November,November,III
novendiālis,novendiālis,novendiāle,III
novercālis,novercālis,novercāle,III
novīcia,novīcius,novīcium,I_II
novissima,novissimus,novissimum,I_II
nova,novus,novum,I_II
noxia,noxius,noxium,I_II
nūbifera,nūbifer,nūbiferum,I_II
nūbilis,nūbilis,nūbile,III
nūbila,nūbilus,nūbilum,I_II
nūda,nūdus,nūdum,I_II
nūgātōria,nūgātōrius,nūgātōrium,I_II
nūlla,nūllus,nūllum,I_II
numerābilis,numerābilis,numerābile,III
numerāta,numerātus,numerātum,I_II
numerōsa,numerōsus,numerōsum,I_II
nummāria,nummārius,nummārium,I_II
nummāta,nummātus,nummātum,I_II
nūntia,nūntius,nūntium,I_II
nūptiālis,nūptiālis,nūptiāle,III
obaerāta,obaerātus,obaerātum,I_II
obducta,obductus,obductum,I_II
ōbēsa,ōbēsus,ōbēsum,I_II
obiecta,obiectus,obiectum,I_II
obīrāta,obīrātus,obīrātum,I_II
obiūrgātōria,obiūrgātōrius,obiūrgātōrium,I_II
oblīqua,oblīquus,oblīquum,I_II
oblīta,oblītus,oblītum,I_II
oblīviōsa,oblīviōsus,oblīviōsum,I_II
oblonga,oblongus,oblongum,I_II
obnāta,obnātus,obnātum,I_II
obnīxa,obnīxus,obnīxum,I_II
obnoxia,obnoxius,obnoxium,I_II
obnūbila,obnūbilus,obnūbilum,I_II
oboediēns,oboediēns,oboediēns,III
obscēna,obscēnus,obscēnum,I_II
obscūra,obscūrus,obscūrum,I_II
obsequēns,obsequēns,obsequēns,III
observāns,observāns,observāns,III
obsidiālis,obsidiālis,obsidiāle,III
obsolēta,obsolētus,obsolētum,I_II
obstināta,obstinātus,obstinātum,I_II
obstīpa,obstīpus,obstīpum,I_II
obstita,obstitus,obstitum,I_II
obtūnsa,obtūnsus,obtūnsum,I_II
obtūsa,obtūsus,obtūsum,I_II
obunca,obuncus,obuncum,I_II
obversa,obversus,obversum,I_II
obvia,obvius,obvium,I_II
occidua,occiduus,occiduum,I_II
occulta,occultus,occultum,I_II
occupāta,occupātus,occupātum,I_II
ōciora,ōcior,ōciorum,I_II
ocreāta,ocreātus,ocreātum,I_II
octāvusdecima,octāvusdecimus,octāvusdecimum,I_II
octingentēsima,octingentēsimus,octingentēsimum,I_II
octipēs,octipēs,octipēs,III
Octōber,Octōber,Octōber,III
octōgēnsima,octōgēnsimus,octōgēnsimum,I_II
octōiugis,octōiugis,octōiuge,III
octōphorosa,octōphoros,octōphorosum,I_II
octuplicāta,octuplicātus,octuplicātum,I_II
octupla,octuplus,octuplum,I_II
odiōsa,odiōsus,odiōsum,I_II
odōrāta,odōrātus,odōrātum,I_II
odōrifera,odōrifer,odōriferum,I_II
odōra,odōrus,odōrum,I_II
oeconomica,oeconomicus,oeconomicum,I_II
offēnsa,offēnsus,offēnsum,I_II
officiōsa,officiōsus,officiōsum,I_II
oinosa,oinos,oinosum,I_II
oleāgina,oleāginus,oleāginum,I_II
oleāria,oleārius,oleārium,I_II
olēns,olēns,olēns,III
olida,olidus,olidum,I_II
olīvifera,olīvifer,olīviferum,I_II
olōrīna,olōrīnus,olōrīnum,I_II
Olympiaca,Olympiacus,Olympiacum,I_II
Olympica,Olympicus,Olympicum,I_II
omissa,omissus,omissum,I_II
omnigena,omnigenus,omnigenum,I_II
omniparēns,omniparēns,omniparēns,III
omnipotēns,omnipotēns,omnipotēns,III
omnis,omnis,omne,III
omnivaga,omnivagus,omnivagum,I_II
omnivola,omnivolus,omnivolum,I_II
onerāria,onerārius,onerārium,I_II
onerōsa,onerōsus,onerōsum,I_II
onusta,onustus,onustum,I_II
opāca,opācus,opācum,I_II
operāria,operārius,operārium,I_II
operōsa,operōsus,operōsum,I_II
operta,opertus,opertum,I_II
opica,opicus,opicum,I_II
opifera,opifer,opiferum,I_II
opīma,opīmus,opīmum,I_II
opīnābilis,opīnābilis,opīnābile,III
opīnāta,opīnātus,opīnātum,I_II
oppidāna,oppidānus,oppidānum,I_II
opportūna,opportūnus,opportūnum,I_II
opposita,oppositus,oppositum,I_II
optābilis,optābilis,optābile,III
optanda,optandus,optandum,I_II
optāta,optātus,optātum,I_II
optimās,optimās,optimās,III
optīva,optīvus,optīvum,I_II
opulēns,opulēns,opulēns,III
opulenta,opulentus,opulentum,I_II
ōrātōria,ōrātōrius,ōrātōrium,I_II
orba,orbus,orbum,I_II
ōrdināria,ōrdinārius,ōrdinārium,I_II
ōrdināta,ōrdinātus,ōrdinātum,I_II
oriunda,oriundus,oriundum,I_II
ōrnāta,ōrnātus,ōrnātum,I_II
orta,ortus,ortum,I_II
ōscitāns,ōscitāns,ōscitāns,III
ossea,osseus,osseum,I_II
Ōstiēnsis,Ōstiēnsis,Ōstiēnse,III
ostrifera,ostrifer,ostriferum,I_II
ostrīna,ostrīnus,ostrīnum,I_II
ōtiōsa,ōtiōsus,ōtiōsum,I_II
ovāns,ovāns,ovāns,III
ovīlla,ovīllus,ovīllum,I_II
pācālis,pācālis,pācāle,III
pācāta,pācātus,pācātum,I_II
pācifera,pācifer,pāciferum,I_II
pācificātōria,pācificātōrius,pācificātōrium,I_II
pācifica,pācificus,pācificum,I_II
pacta,pactus,pactum,I_II
paenitenda,paenitendus,paenitendum,I_II
paenitēns,paenitēns,paenitēns,III
paenulāta,paenulātus,paenulātum,I_II
Paeōnia,Paeōnius,Paeōnium,I_II
paetula,paetulus,paetulum,I_II
paeta,paetus,paetum,I_II
pāgāna,pāgānus,pāgānum,I_II
palaestrica,palaestricus,palaestricum,I_II
palama,palam,palamum,I_II
Palātīna,Palātīnus,Palātīnum,I_II
Palīlis,Palīlis,Palīle,III
pallēns,pallēns,pallēns,III
palliāta,palliātus,palliātum,I_II
pallidula,pallidulus,pallidulum,I_II
pallida,pallidus,pallidum,I_II
palmāris,palmāris,palmāre,III
palmāria,palmārius,palmārium,I_II
palmāta,palmātus,palmātum,I_II
palmifera,palmifer,palmiferum,I_II
palmōsa,palmōsus,palmōsum,I_II
palūdāta,palūdātus,palūdātum,I_II
palūdōsa,palūdōsus,palūdōsum,I_II
palūster,palūster,palūster,III
pampinea,pampineus,pampineum,I_II
panchrēsta,panchrēstus,panchrēstum,I_II
panda,pandus,pandum,I_II
panēgyrica,panēgyricus,panēgyricum,I_II
pannōsa,pannōsus,pannōsum,I_II
papāverea,papāvereus,papāvereum,I_II
Paphia,Paphius,Paphium,I_II
papȳrifera,papȳrifer,papȳriferum,I_II
pār,pār,pār,III
parābilis,parābilis,parābile,III
parāta,parātus,parātum,I_II
parcēns,parcēns,parcēns,III
parca,parcus,parcum,I_II
pārēns,pārēns,pārēns,III
parentālis,parentālis,parentāle,III
parilis,parilis,parile,III
parmāta,parmātus,parmātum,I_II
particeps,particeps,particeps,III
parta,partus,partum,I_II
parvola,parvolus,parvolum,I_II
parva,parvus,parvum,I_II
pāscua,pāscuus,pāscuum,I_II
passa,passus,passum,I_II
pāstōrālis,pāstōrālis,pāstōrāle,III
pāstōrīcia,pāstōrīcius,pāstōrīcium,I_II
pāstōria,pāstōrius,pāstōrium,I_II
Pataraea,Pataraeus,Pataraeum,I_II
patēns,patēns,patēns,III
paterna,paternus,paternum,I_II
pathica,pathicus,pathicum,I_II
patibilis,patibilis,patibile,III
patiēns,patiēns,patiēns,III
patrāta,patrātus,patrātum,I_II
patricia,patricius,patricium,I_II
patrīma,patrīmus,patrīmum,I_II
patrīta,patrītus,patrītum,I_II
patria,patrius,patrium,I_II
patria,patrius,patrium,I_II
patruēlis,patruēlis,patruēle,III
patrua,patruus,patruum,I_II
patula,patulus,patulum,I_II
pauca,paucus,paucum,I_II
paulula,paululus,paululum,I_II
paula,paulus,paulum,I_II
pauper,pauper,pauper,III
paupercula,pauperculus,pauperculum,I_II
pauxillula,pauxillulus,pauxillulum,I_II
pavefacta,pavefactus,pavefactum,I_II
pavida,pavidus,pavidum,I_II
pavīmentāta,pavīmentātus,pavīmentātum,I_II
peccāns,peccāns,peccāns,III
pecorōsa,pecorōsus,pecorōsum,I_II
pecuāria,pecuārius,pecuārium,I_II
pecūliāris,pecūliāris,pecūliāre,III
pecūniāria,pecūniārius,pecūniārium,I_II
pecūniōsa,pecūniōsus,pecūniōsum,I_II
pedālis,pedālis,pedāle,III
pedāria,pedārius,pedārium,I_II
pedester,pedester,pedester,III
pēiora,pēior,pēiorum,I_II
pelagia,pelagius,pelagium,I_II
pellāx,pellāx,pellāx,III
pellīta,pellītus,pellītum,I_II
peltāta,peltātus,peltātum,I_II
penāria,penārius,penārium,I_II
penātigera,penātiger,penātigerum,I_II
pendula,pendulus,pendulum,I_II
penetrābilis,penetrābilis,penetrābile,III
penetrālis,penetrālis,penetrāle,III
pennāta,pennātus,pennātum,I_II
pēnsilis,pēnsilis,pēnsile,III
perabsurda,perabsurdus,perabsurdum,I_II
peraccommodāta,peraccommodātus,peraccommodātum,I_II
perācer,perācer,perācer,III
peracerba,peracerbus,peracerbum,I_II
peracūta,peracūtus,peracūtum,I_II
peradulēscēns,peradulēscēns,peradulēscēns,III
peralta,peraltus,peraltum,I_II
peramāns,peramāns,peramāns,III
peramoena,peramoenus,peramoenum,I_II
perampla,peramplus,peramplum,I_II
perangusta,perangustus,perangustum,I_II
perantīqua,perantīquus,perantīquum,I_II
perapposita,perappositus,perappositum,I_II
perardua,perarduus,perarduum,I_II
perargūta,perargūtus,perargūtum,I_II
perarmāta,perarmātus,perarmātum,I_II
perattenta,perattentus,perattentum,I_II
perbeāta,perbeātus,perbeātum,I_II
perbenevola,perbenevolus,perbenevolum,I_II
perblanda,perblandus,perblandum,I_II
perbona,perbonus,perbonum,I_II
perbrevis,perbrevis,perbreve,III
percāra,percārus,percārum,I_II
percauta,percautus,percautum,I_II
perceler,perceler,perceler,III
percepta,perceptus,perceptum,I_II
percita,percitus,percitum,I_II
percōmis,percōmis,percōme,III
percommoda,percommodus,percommodum,I_II
percontumāx,percontumāx,percontumāx,III
percupida,percupidus,percupidum,I_II
percūriōsa,percūriōsus,percūriōsum,I_II
perdifficilis,perdifficilis,perdifficile,III
perdīgna,perdīgnus,perdīgnum,I_II
perdīligens,perdīligens,perdīligens,III
perdita,perditus,perditum,I_II
perdiuturna,perdiuturnus,perdiuturnum,I_II
perdīves,perdīves,perdīves,III
perdocta,perdoctus,perdoctum,I_II
peregrīnābunda,peregrīnābundus,peregrīnābundum,I_II
peregrīna,peregrīnus,peregrīnum,I_II
perēlegāns,perēlegāns,perēlegāns,III
perēlegantera,perēleganter,perēleganterum,I_II
perēloquēns,perēloquēns,perēloquēns,III
peremnis,peremnis,peremne,III
perendina,perendinus,perendinum,I_II
perennis,perennis,perenne,III
perērudīta,perērudītus,perērudītum,I_II
perexcelsa,perexcelsus,perexcelsum,I_II
perexigua,perexiguus,perexiguum,I_II
perexpedīta,perexpedītus,perexpedītum,I_II
perfacēta,perfacētus,perfacētum,I_II
perfacilis,perfacilis,perfacile,III
perfamiliāris,perfamiliāris,perfamiliāre,III
perfecta,perfectus,perfectum,I_II
perferēns,perferēns,perferēns,III
perfidēlis,perfidēlis,perfidēle,III
perfidiōsa,perfidiōsus,perfidiōsum,I_II
perfida,perfidus,perfidum,I_II
perflābilis,perflābilis,perflābile,III
perflāgitiōsa,perflāgitiōsus,perflāgitiōsum,I_II
perfrequēns,perfrequēns,perfrequēns,III
perfrīgida,perfrīgidus,perfrīgidum,I_II
pergrandis,pergrandis,pergrande,III
pergrāta,pergrātus,pergrātum,I_II
pergravis,pergravis,pergrave,III
perhonōrifica,perhonōrificus,perhonōrificum,I_II
perhorrida,perhorridus,perhorridum,I_II
perhūmāna,perhūmānus,perhūmānum,I_II
perīculōsa,perīculōsus,perīculōsum,I_II
peridōnea,peridōneus,peridōneum,I_II
perimbēcilla,perimbēcillus,perimbēcillum,I_II
perincommoda,perincommodus,perincommodum,I_II
perindulgēns,perindulgēns,perindulgēns,III
perīnfīrma,perīnfīrmus,perīnfīrmum,I_II
peringeniōsa,peringeniōsus,peringeniōsum,I_II
perinīqua,perinīquus,perinīquum,I_II
perinlūstris,perinlūstris,perinlūstre,III
perīnsīgnis,perīnsīgnis,perīnsīgne,III
perinvalida,perinvalidus,perinvalidum,I_II
perinvīsa,perinvīsus,perinvīsum,I_II
perinvīta,perinvītus,perinvītum,I_II
Peripatētica,Peripatēticus,Peripatēticum,I_II
perīrāta,perīrātus,perīrātum,I_II
perīta,perītus,perītum,I_II
periūcunda,periūcundus,periūcundum,I_II
periūra,periūrus,periūrum,I_II
perlaeta,perlaetus,perlaetum,I_II
perlevis,perlevis,perleve,III
perlīberālis,perlīberālis,perlīberāle,III
perlonga,perlongus,perlongum,I_II
perlubēns,perlubēns,perlubēns,III
perlūcidula,perlūcidulus,perlūcidulum,I_II
perlūcida,perlūcidus,perlūcidum,I_II
perlūctuōsa,perlūctuōsus,perlūctuōsum,I_II
permāgna,permāgnus,permāgnum,I_II
permarīna,permarīnus,permarīnum,I_II
permediocris,permediocris,permediocre,III
permīra,permīrus,permīrum,I_II
permodesta,permodestus,permodestum,I_II
permolesta,permolestus,permolestum,I_II
permulta,permultus,permultum,I_II
pernecessāria,pernecessārius,pernecessārium,I_II
pernecessea,pernecesse,pernecesseum,I_II
perniciābilis,perniciābilis,perniciābile,III
perniciōsa,perniciōsus,perniciōsum,I_II
pernīx,pernīx,pernīx,III
pernōbilis,pernōbilis,pernōbile,III
pernōta,pernōtus,pernōtum,I_II
pernox,pernox,pernox,III
perobscūra,perobscūrus,perobscūrum,I_II
perodiōsa,perodiōsus,perodiōsum,I_II
peropportūna,peropportūnus,peropportūnum,I_II
perōrnāta,perōrnātus,perōrnātum,I_II
perparvola,perparvolus,perparvolum,I_II
perparva,perparvus,perparvum,I_II
perpāsta,perpāstus,perpāstum,I_II
perpaucīa,perpaucī,perpaucīum,I_II
perpauculīa,perpauculī,perpauculīum,I_II
perpaula,perpaulus,perpaulum,I_II
perpauper,perpauper,perpauper,III
perpetua,perpetuus,perpetuum,I_II
perplexa,perplexus,perplexum,I_II
perpolīta,perpolītus,perpolītum,I_II
perpropinqua,perpropinquus,perpropinquum,I_II
perpūgnāx,perpūgnāx,perpūgnāx,III
perpulchera,perpulcher,perpulcherum,I_II
perpusilla,perpusillus,perpusillum,I_II
perrāra,perrārus,perrārum,I_II
perrecondita,perreconditus,perreconditum,I_II
perrīdicula,perrīdiculus,perrīdiculum,I_II
persalsa,persalsus,persalsum,I_II
persapiēns,persapiēns,persapiēns,III
persapientera,persapienter,persapienterum,I_II
perscīta,perscītus,perscītum,I_II
persēgnis,persēgnis,persēgne,III
persevērāns,persevērāns,persevērāns,III
persevēra,persevērus,persevērum,I_II
Persica,Persicus,Persicum,I_II
persimilis,persimilis,persimile,III
persimplex,persimplex,persimplex,III
persōnāta,persōnātus,persōnātum,I_II
perspecta,perspectus,perspectum,I_II
perspicāx,perspicāx,perspicāx,III
perspicua,perspicuus,perspicuum,I_II
perstudiōsa,perstudiōsus,perstudiōsum,I_II
persubtīlis,persubtīlis,persubtīle,III
pertenuis,pertenuis,pertenue,III
perterricrepa,perterricrepus,perterricrepum,I_II
pertināx,pertināx,pertināx,III
pertrīstis,pertrīstis,pertrīste,III
perturbāta,perturbātus,perturbātum,I_II
perturpis,perturpis,perturpe,III
perurbāna,perurbānus,perurbānum,I_II
perūtilis,perūtilis,perūtile,III
